时间,通道 A
(us),(mV)

101.34799107,-0.01956947
101.35319107,-0.08806262
101.35839107,0.00978474
101.36359107,0.00000000
101.36879107,0.03913894
101.37399107,-0.11741682
101.37919107,-0.10763209
101.38439107,-0.12720156
101.38959107,0.00000000
101.39479107,-0.03913894
101.39999107,-0.04892368
101.40519107,-0.03913894
101.41039107,0.08806262
101.41559107,0.04892368
101.42079107,0.00978474
101.42599107,-0.17612524
101.43119107,-0.05870841
101.43639107,-0.03913894
101.44159107,-0.02935421
101.44679107,-0.15655577
101.45199107,-0.05870841
101.45719107,-0.00978474
101.46239106,-0.07827789
101.46759106,-0.05870841
101.47279106,-0.08806262
101.47799106,-0.04892368
101.48319106,-0.05870841
101.48839106,-0.04892368
101.49359106,-0.02935421
101.49879106,0.00978474
101.50399106,-0.13698630
101.50919106,-0.08806262
101.51439106,-0.02935421
101.51959106,0.00978474
101.52479106,-0.08806262
101.52999106,-0.07827789
101.53519106,-0.06849315
101.54039106,-0.02935421
101.54559106,-0.09784736
101.55079106,-0.03913894
101.55599106,-0.02935421
101.56119106,0.01956947
101.56639106,-0.09784736
101.57159106,0.02935421
101.57679105,-0.09784736
101.58199105,-0.06849315
101.58719105,-0.02935421
101.59239105,-0.00978474
101.59759105,0.01956947
101.60279105,-0.05870841
101.60799105,-0.14677103
101.61319105,-0.06849315
101.61839105,-0.09784736
101.62359105,-0.08806262
101.62879105,0.05870841
101.63399105,0.00000000
101.63919105,-0.05870841
101.64439105,-0.00978474
101.64959105,-0.07827789
101.65479105,-0.03913894
101.65999105,-0.03913894
101.66519105,-0.03913894
101.67039105,0.00000000
101.67559105,-0.02935421
101.68079105,-0.07827789
101.68599105,-0.06849315
101.69119104,-0.00978474
101.69639104,-0.02935421
101.70159104,-0.14677103
101.70679104,-0.06849315
101.71199104,-0.00978474
101.71719104,0.04892368
101.72239104,-0.16634050
101.72759104,-0.09784736
101.73279104,-0.02935421
101.73799104,0.00978474
101.74319104,-0.07827789
101.74839104,0.00978474
101.75359104,-0.07827789
101.75879104,0.00978474
101.76399104,-0.06849315
101.76919104,-0.04892368
101.77439104,-0.04892368
101.77959104,-0.08806262
101.78479104,-0.01956947
101.78999104,-0.03913894
101.79519104,-0.06849315
101.80039104,-0.03913894
101.80559103,-0.09784736
101.81079103,0.00978474
101.81599103,-0.12720156
101.82119103,-0.09784736
101.82639103,-0.08806262
101.83159103,0.03913894
101.83679103,-0.03913894
101.84199103,0.00000000
101.84719103,-0.02935421
101.85239103,-0.06849315
101.85759103,-0.06849315
101.86279103,-0.06849315
101.86799103,0.00000000
101.87319103,-0.10763209
101.87839103,-0.00978474
101.88359103,-0.00978474
101.88879103,-0.01956947
101.89399103,-0.16634050
101.89919103,0.13698630
101.90439103,-0.01956947
101.90959103,-0.01956947
101.91479103,-0.02935421
101.91999102,-0.04892368
101.92519102,-0.09784736
101.93039102,0.02935421
101.93559102,0.00978474
101.94079102,-0.06849315
101.94599102,0.05870841
101.95119102,-0.17612524
101.95639102,-0.01956947
101.96159102,-0.09784736
101.96679102,0.02935421
101.97199102,-0.09784736
101.97719102,-0.03913894
101.98239102,-0.08806262
101.98759102,0.01956947
101.99279102,0.00000000
101.99799102,-0.10763209
102.00319102,-0.09784736
102.00839102,0.06849315
102.01359102,-0.10763209
102.01879102,-0.12720156
102.02399102,-0.00978474
102.02919101,0.05870841
102.03439101,0.02935421
102.03959101,-0.04892368
102.04479101,-0.05870841
102.04999101,-0.00978474
102.05519101,-0.10763209
102.06039101,-0.13698630
102.06559101,0.11741682
102.07079101,-0.06849315
102.07599101,-0.07827789
102.08119101,-0.15655577
102.08639101,-0.02935421
102.09159101,-0.13698630
102.09679101,-0.00978474
102.10199101,-0.07827789
102.10719101,0.09784736
102.11239101,-0.11741682
102.11759101,-0.04892368
102.12279101,-0.00978474
102.12799101,-0.03913894
102.13319101,-0.12720156
102.13839101,-0.11741682
102.14359100,-0.14677103
102.14879100,-0.06849315
102.15399100,-0.04892368
102.15919100,-0.01956947
102.16439100,-0.10763209
102.16959100,0.04892368
102.17479100,-0.14677103
102.17999100,-0.09784736
102.18519100,0.01956947
102.19039100,-0.03913894
102.19559100,0.06849315
102.20079100,-0.05870841
102.20599100,0.00978474
102.21119100,-0.09784736
102.21639100,-0.00978474
102.22159100,-0.06849315
102.22679100,-0.09784736
102.23199100,-0.16634050
102.23719100,-0.13698630
102.24239100,-0.04892368
102.24759100,-0.03913894
102.25279100,-0.12720156
102.25799099,-0.04892368
102.26319099,-0.09784736
